vendor,vendor_area,category,item,price_low,price_high,unit,guest_band,includes,source_url,observed,published_quote
Sonum May Photography,"Serves Memphis, TN and Oxford, MS with travel included",photography,Full Day Coverage,8000,8000,package,,"Up to 10 hours, second photographer, online gallery, print release",https://pricing.sonummayphotography.com/,2026-09-01,"$8,000"
Sonum May Photography,"Serves Memphis, TN and Oxford, MS with travel included",photography,Weekend Coverage,10000,10000,package,,"Day-before and full-day coverage, second photographer",https://pricing.sonummayphotography.com/,2026-09-01,"$10,000"
Sonum May Photography,"Serves Memphis, TN and Oxford, MS with travel included",photography,All-In Collection,12000,12000,package,,"Day-before plus full day, second photographer, 35mm film stills and Super 8 highlights",https://pricing.sonummayphotography.com/,2026-09-01,"All-In Collection ... $12,000"
Elizabeth Hoard Photography,"Memphis, TN",photography,Stated average investment range,8000,15000,range,,The photographer's stated typical range across a wedding weekend; not a package price,https://www.elizabethhoardphotography.com/pricing,2026-09-01,"An average investment for my couples' wedding weekend typically falls between $8,000-$15,000"
Emily Holmes Weddings,"Memphis, TN",photography,"Traditional wedding day, stated average",4700,4700,stated_average,,Full-day coverage through the exit,https://www.emilyholmesweddings.com/wedding-experience,2026-09-01,"couples planning traditional wedding days invest, on average, $4700"
Emily Holmes Weddings,"Memphis, TN",photography,"Intimate celebration, stated average",3900,3900,stated_average,,"Smaller, slower-paced wedding day",https://www.emilyholmesweddings.com/wedding-experience,2026-09-01,"couples planning intimate celebrations invest, on average,$3900"
DJ Mark Anderson,"Memphis, TN",dj,Reception DJ service,750,1150,range,,"Equipment delivery, load in and set up, reception performance, take down and load out",https://www.memphisweddingdjma.com/about.html,2026-09-01,"PRICE RANGE $750 to $1,150 in most cases."
Woodruff-Fontaine House Museum,"Memphis, TN",venue,Carriage House + Front Lawn + Garden,5000,5000,rental,,"12-hour event rental, scheduled rehearsal, indoor and outdoor ceremony and reception space, onsite tables and chairs, restrooms and kitchen, event clean-up, 6 hours event security, mansion photography session, wedding party suite",https://www.woodruff-fontaine.org/weddings-venue-rental,2026-09-01,"$5,000 - Carriage House + Front Lawn + Garden"
Woodruff-Fontaine House Museum,"Memphis, TN",venue,Carriage House + Garden,4700,4700,rental,,"As above, without the front lawn",https://www.woodruff-fontaine.org/weddings-venue-rental,2026-09-01,"$4,700 - Carriage House + Garden"
The Kent,"Memphis, TN",venue,"Keel Avenue rental fee, Monday to Thursday",7000,7000,rental,,Venue rental only; caterer must be chosen from the approved vendor list; all vendors must carry $1M liability insurance,https://thekentmemphis.com/pricing/,2026-09-01,"Keel Avenue Package Pricing Monday - Thursday $7,000*"
The Kent,"Memphis, TN",venue,"Keel Avenue rental fee, Sunday",8500,8500,rental,,Venue rental only,https://thekentmemphis.com/pricing/,2026-09-01,"Sunday $8,500*"
The Kent,"Memphis, TN",venue,"Keel Avenue rental fee, Friday to Saturday",9500,9500,rental,,Venue rental only,https://thekentmemphis.com/pricing/,2026-09-01,"Friday - Saturday $9,500*"
The Kent,"Memphis, TN",venue,"Front Street rental fee, Friday to Saturday",14500,14500,rental,,"Venue rental only, premier space",https://thekentmemphis.com/pricing/,2026-09-01,"Front Street Package Pricing Monday - Thursday $9,500* Friday - Saturday $14,500*"
The Kent,"Memphis, TN",venue,Additional rental hour,350,350,per_hour,,One extra hour beyond the package,https://thekentmemphis.com/pricing/,2026-09-01,Additional rental hours – $350.00 per extra hour
The Kent,"Memphis, TN",venue,Getting-ready suite beverages and light lunch,25,25,per_person,,Beverages and light lunch in the getting ready suites,https://thekentmemphis.com/pricing/,2026-09-01,Beverages and light lunch in getting ready suites – $25.00 + per
Memphis Botanic Garden,"Memphis, TN",venue,Additional venue hour beyond the included two,150,150,per_hour,,One extra hour of venue or space rental,https://membg.org/rentals/,2026-09-01,Up to 2 Hours of Venue/Space Rental (Add $150 per additional hour)
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ Shoulder Plate, 50 to 99 guests",13.25,13.25,per_person,50-99,"Chopped BBQ, beans, slaw, potato salad or spaghetti, deviled egg, bread, plates and utensils",https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ Shoulder Plate 150+ $11.50 100-149 $11.95 50-99 $13.25
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ Shoulder Plate, 100 to 149 guests",11.95,11.95,per_person,100-149,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ Shoulder Plate 150+ $11.50 100-149 $11.95 50-99 $13.25
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ Shoulder Plate, 150 or more guests",11.5,11.5,per_person,150+,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ Shoulder Plate 150+ $11.50 100-149 $11.95 50-99 $13.25
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ or Fried Chicken Plate, 50 to 99 guests",13.5,13.5,per_person,50-99,"Chicken, beans, slaw, potato salad or spaghetti, deviled egg, bread, plates and utensils",https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ or Fried Chicken Plate 150+ $12.25 100-149 $12.50 50-99 $13.50
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ or Fried Chicken Plate, 100 to 149 guests",12.5,12.5,per_person,100-149,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ or Fried Chicken Plate 150+ $12.25 100-149 $12.50 50-99 $13.50
The Commissary (Germantown Commissary),"Germantown, TN",catering,"BBQ or Fried Chicken Plate, 150 or more guests",12.25,12.25,per_person,150+,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,BBQ or Fried Chicken Plate 150+ $12.25 100-149 $12.50 50-99 $13.50
The Commissary (Germantown Commissary),"Germantown, TN",catering,"Rib Plate (6-8 bones), 50 to 99 guests",22.0,22.0,per_person,50-99,"Full order of ribs, beans, slaw, potato salad or spaghetti, deviled egg, bread, plates and utensils",https://www.commissarybbq.com/full-service-catering,2026-09-01,Rib Plate (6-8 Bones) 150+ $20.95 100-149 $21.25 50-99 $22.00
The Commissary (Germantown Commissary),"Germantown, TN",catering,"Rib Plate (6-8 bones), 100 to 149 guests",21.25,21.25,per_person,100-149,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,Rib Plate (6-8 Bones) 150+ $20.95 100-149 $21.25 50-99 $22.00
The Commissary (Germantown Commissary),"Germantown, TN",catering,"Rib Plate (6-8 bones), 150 or more guests",20.95,20.95,per_person,150+,As above,https://www.commissarybbq.com/full-service-catering,2026-09-01,Rib Plate (6-8 Bones) 150+ $20.95 100-149 $21.25 50-99 $22.00
The Commissary (Germantown Commissary),"Germantown, TN",catering,Iced tea or lemonade,1.25,1.25,per_person,,"Fresh brewed, sugar, sweetener, real lemon",https://www.commissarybbq.com/full-service-catering,2026-09-01,Iced Tea or Lemonade Add per person $1.25
The Commissary (Germantown Commissary),"Germantown, TN",catering,Soft drinks,1.5,1.5,per_person,,Soft drinks added to the plate price,https://www.commissarybbq.com/full-service-catering,2026-09-01,Soft Drinks Add per person $1.50
The Commissary (Germantown Commissary),"Germantown, TN",catering,Cakes and pies,3.75,3.75,per_person,,Dessert added to the plate price,https://www.commissarybbq.com/full-service-catering,2026-09-01,Cakes and Pies Add per person $3.75
The Commissary (Germantown Commissary),"Germantown, TN",catering,Homemade banana pudding or brownie,1.75,1.75,per_person,,Dessert added to the plate price,https://www.commissarybbq.com/full-service-catering,2026-09-01,Homemade Banana Pudding or Brownie Add. per person $1.75
Corky's BBQ,"Memphis, TN",catering,"Private party room, stated average per person",15.99,15.99,per_person,,Group reservation in a private party room for up to 40 people; 48 hours notice required,https://www.corkysbbq.com/catering-private-party-rooms/,2026-09-01,The average cost per person is $15.99
Bain Barbecue & Bakery,"Memphis, TN",catering,Minimum catering order,150,150,order_minimum,,"10-person minimum, $150 total order minimum",https://www.bainbarbecue.com/catering,2026-09-01,"10-person minimum, $150 order minimum"
Bain Barbecue & Bakery,"Memphis, TN",catering,"BBQ package with sides, bread and sauces",240,240,package,,"Comes with Sweet BBQ Baked Beans, Jalapeno Lime Slaw, Martin's Potato Bread, and sauces",https://www.bainbarbecue.com/catering,2026-09-01,$240 per package
Off The Square Catering,"Memphis, TN",catering,Server,15.0,15.0,per_hour,,"One server, per hour; an 18% gratuity is added",https://www.offthesquarecatering.com/,2026-09-01,Servers are $15.00 per hr. per server
Off The Square Catering,"Memphis, TN",catering,Bartender (ABC certified),18.0,18.0,per_hour,,"One bartender, per hour; an 18% gratuity is added",https://www.offthesquarecatering.com/,2026-09-01,Bartenders (all are ABC certified) are $18.00 per hr per bartender
Off The Square Catering,"Memphis, TN",catering,Drop-off delivery and pick up,25.0,25.0,flat_fee,,Set up of the food and a return trip to clean up,https://www.offthesquarecatering.com/,2026-09-01,There is a $25.00 delivery and pick up fee.
Sweet LaLa's Bakery,"Memphis, TN",cake,"Wedding cake, starting price per serving",5.0,5.0,per_serving,,Base cake; 50% non-refundable deposit at booking; 4-6 week lead time,https://sweetlalas.com/cakes/wedding-cakes/,2026-09-01,Wedding cakes start at $5/serving
Sweet LaLa's Bakery,"Memphis, TN",cake,Filling,0.5,0.5,per_serving,,"Strawberry, raspberry or lemon curd",https://sweetlalas.com/cakes/wedding-cakes/,2026-09-01,Fillings are an additional $0.50/serving
Sweet LaLa's Bakery,"Memphis, TN",cake,Cake tasting,25.0,25.0,flat_fee,,"30-minute consult, credited back if you book",https://sweetlalas.com/cakes/wedding-cakes/,2026-09-01,Tastings are $25 for a 30 minute consult.
Sweet LaLa's Bakery,"Memphis, TN",cake,"Delivery, starting price",150.0,150.0,flat_fee,,Delivery and setup; $1.75 per mile beyond a 20 mile radius,https://sweetlalas.com/cakes/wedding-cakes/,2026-09-01,Our delivery starts at $150. We will charge $1.75 per mile after a 20 mile radius.
Crave Sweet Shop,"Germantown, TN",cake,"Wedding cake, starting price per serving",2.75,2.75,per_serving,,Base cake; price increases with design complexity,https://www.cravesweetshop.com/copy-of-get-a-quote,2026-09-01,Prices start at $2.75 per serving and increase based on design.
Crave Sweet Shop,"Germantown, TN",cake,Standard cupcake,2.25,2.25,per_serving,,One standard cupcake,https://www.cravesweetshop.com/copy-of-get-a-quote,2026-09-01,Standard Cupcakes are $2.25 each
J's Cakes,"Memphis, TN",cake,"Custom cake, stated average minimum spend",140.0,140.0,stated_average,,"Whole custom cake, not per serving",https://www.jcakesyum.com/cake-f-a-q-s,2026-09-01,On average our customers spend a minimum of $140.
TCB & Co,"Memphis, TN",florals,"Full-service wedding florals, minimum",8500,8500,minimum,,Full-service florals including arches and large-scale installations; an a la carte collection is offered below the minimum,https://www.tcbnco.com/pages/wedding,2026-09-01,"Our full-service wedding florals including arches, large-scale installations, etc minimum starts at $8,500."
The Hardin House,"Memphis, TN",planning,"Full service planning, starting price",7500,7500,starting_price,,Customisable full-service planning,https://www.thehardinhouse.com/info,2026-09-01,"customizable starting at $7,500"
The Hardin House,"Memphis, TN",planning,Two Month Planning Package,3250,3250,package,,"Two planning meetings, details and task lists",https://www.thehardinhouse.com/info,2026-09-01,"$3,250"
The Hardin House,"Memphis, TN",planning,Wedding Weekend Planning (day-of coordination),1400,1400,package,,"Timeline creation and distribution to vendors, coordination of event rentals, delivery and pick up",https://www.thehardinhouse.com/info,2026-09-01,"$1,400"
The Hardin House,"Memphis, TN",planning,Consultation,100,100,per_hour,,Hourly consulting rate,https://www.thehardinhouse.com/info,2026-09-01,$100 per hour
The Hardin House,"Memphis, TN",planning,Bridal assistant,350,350,flat_fee,,"Assistant with the bridal party from the morning of the wedding, in contact with the lead coordinator",https://www.thehardinhouse.com/info,2026-09-01,$350
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,White folding chair with metal leg,1.75,1.75,per_item,,"One chair; page states prices subject to change, last updated 06/24/24",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,White w/ metal leg $1.75
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,White wood folding chair,3.35,3.35,per_item,,One chair,https://www.affordablepartyrentals.com/pricing.html,2026-09-01,White wood $3.35
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,Padded black banquet chair,3.85,3.85,per_item,,One chair,https://www.affordablepartyrentals.com/pricing.html,2026-09-01,Padded black banquet $3.85
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,60 inch round table,9.75,9.75,per_item,,"One table, seats eight",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,"60"" round $9.75"
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,72 inch round table,14.0,14.0,per_item,,"One table, seats ten",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,"72"" round $14.00"
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,"Poly linen, 120 inch round",11.5,11.5,per_item,,"One linen, fits a 60 inch round to the floor",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,"120"" rd $11.50"
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,"Poly linen, 132 inch round",15.5,15.5,per_item,,"One linen, fits a 72 inch round to the floor",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,"132"" rd $15.50"
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,"Dance floor section, 3ft by 4ft",20.0,20.0,per_item,,"One wood-grain section, indoor or under a commercial tent",https://www.affordablepartyrentals.com/pricing.html,2026-09-01,3' x 4' sections wood grain $20/piece
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,Portable bar,75.0,75.0,per_item,,One portable bar,https://www.affordablepartyrentals.com/pricing.html,2026-09-01,Portable Bar $75.00
Affordable Party Rentals,"Memphis, TN tri-state area",rentals,"Staging section, 4ft by 4ft",37.0,37.0,per_item,,One stage section,https://www.affordablepartyrentals.com/pricing.html,2026-09-01,4' x 4' sections $ 37.00 / piece
